Date,Destination,Tickets_Booked,Train_Delay_Minutes,Weather_Impact,Festival_Impact,Festival_Name,Congestion
2019-05-20,Ahmedabad,547,25,0.9,0,,0.23
2022-12-25,Bengaluru City,1243,0,0.9,1,Christmas,0.79
2021-12-27,Hyderabad Deccan,1229,56,0.3,0,,0.27
2023-01-13,Mumbai Central,935,0,0.6,0,,0.56
2021-06-16,Mumbai Central,505,47,0.8,0,,0.81
2020-02-23,Hyderabad Deccan,559,18,0.1,0,,0.25
2023-07-24,New Delhi,1251,50,0.9,0,,0.49
2019-01-11,Bengaluru City,881,14,0.1,0,,0.54
2021-10-29,Chennai Central,1311,31,0.3,0,,0.22
2019-10-25,Bengaluru City,1483,10,0.3,0,,0.36
2020-06-24,Pune Junction,1073,0,0.8,0,,0.75
2022-05-27,Lucknow NR,1226,8,0.8,0,,0.49
2021-02-15,New Delhi,910,52,0.6,0,,0.43
2020-10-21,Lucknow NR,1345,35,0.3,0,,0.53
2020-07-19,Kolkata,1303,20,0.8,0,,0.85
2020-06-14,Mumbai Central,932,21,0.1,0,,0.35
2023-08-25,Mumbai Central,703,60,0.1,0,,0.29
2023-03-11,Pune Junction,982,0,0.8,0,,0.46
2020-03-26,Pune Junction,1027,0,0.1,0,,0.25
2019-04-04,Mumbai Central,636,47,0.1,0,,0.15
2022-01-06,Hyderabad Deccan,1374,30,0.3,0,,0.3
2019-06-03,Pune Junction,1421,37,0.3,0,,0.31
2019-07-16,New Delhi,659,15,0.6,0,,0.66
2022-03-20,Pune Junction,855,19,0.1,0,,0.45
2021-10-04,Pune Junction,623,43,0.1,0,,0.49
2023-02-25,Ahmedabad,500,52,0.8,0,,0.64
2021-06-09,Kolkata,1484,8,0.3,0,,0.29
2019-10-16,Pune Junction,1462,57,0.8,0,,0.43
2022-11-10,Chennai Central,947,0,0.3,0,,0.32
2019-10-07,Hyderabad Deccan,941,53,0.6,0,,0.36
2020-05-07,Chennai Central,511,0,0.1,0,,0.55
2023-12-17,Ahmedabad,992,8,0.8,0,,0.39
2021-06-01,Kolkata,1496,0,0.8,0,,0.36
2021-07-26,New Delhi,1240,0,0.1,0,,0.34
2020-02-29,Chennai Central,1073,35,0.1,0,,0.13
2023-07-30,Ahmedabad,631,6,0.8,0,,0.54
2020-07-09,Bengaluru City,579,0,0.1,0,,0.45
2022-01-27,Kolkata,932,46,0.1,0,,0.32
2022-04-03,Pune Junction,864,0,0.9,0,,0.16
2023-10-02,Patna Junction,928,0,0.8,0,,0.67
2020-07-03,New Delhi,1064,51,0.3,0,,0.27
2022-05-12,New Delhi,532,1,0.8,0,,0.6
2022-09-04,Patna Junction,1233,33,0.9,0,,0.37
2019-04-05,Chennai Central,1455,33,0.8,0,,0.6
2023-04-10,Chennai Central,1404,37,0.9,0,,0.31
2022-06-05,Bengaluru City,1430,40,0.9,0,,0.49
2023-09-18,Patna Junction,605,0,0.9,0,,0.22
2020-11-01,Hyderabad Deccan,1166,33,0.3,0,,0.28
2019-05-28,Chennai Central,1171,10,0.9,0,,0.58
2023-12-02,Mumbai Central,1031,32,0.6,0,,0.36
2021-04-08,Lucknow NR,1146,53,0.1,0,,0.14
2023-07-14,Chennai Central,998,42,0.1,0,,0.36
2021-02-22,Kolkata,927,0,0.6,0,,0.4
2020-01-11,Kolkata,570,17,0.3,0,,0.54
2023-01-23,Hyderabad Deccan,993,0,0.8,0,,0.53
2020-10-25,Chennai Central,521,46,0.9,0,,0.55
2023-06-01,Patna Junction,997,48,0.6,0,,0.7
2021-02-09,Ahmedabad,1096,0,0.1,0,,0.54
2019-03-13,Kolkata,531,0,0.8,0,,0.9
2021-09-06,Chennai Central,1100,59,0.9,0,,0.41
2021-12-21,Pune Junction,1283,0,0.3,0,,0.23
2023-08-25,Bengaluru City,1250,0,0.3,0,,0.54
2019-10-07,New Delhi,529,10,0.6,0,,0.62
2019-06-05,Chennai Central,820,0,0.3,0,,0.17
2023-06-19,Bengaluru City,1142,15,0.3,0,,0.46
2019-10-24,Pune Junction,1043,57,0.1,1,Diwali,0.43
2022-05-05,Ahmedabad,1099,0,0.3,0,,0.53
2022-06-29,Ahmedabad,551,15,0.6,0,,0.7
2022-11-03,Lucknow NR,1067,0,0.8,0,,0.42
2021-08-10,Pune Junction,1407,29,0.9,0,,0.46
2019-09-04,Patna Junction,540,42,0.9,0,,0.6
2022-07-25,Hyderabad Deccan,1172,4,0.1,0,,0.4
2020-12-03,Patna Junction,1094,23,0.6,0,,0.55
2021-08-03,Ahmedabad,1202,0,0.8,0,,0.72
2021-08-06,Ahmedabad,1223,7,0.1,0,,0.44
2021-08-13,Chennai Central,1219,0,0.1,0,,0.48
2023-04-12,Kolkata,692,0,0.9,0,,0.51
2022-08-24,Mumbai Central,1125,0,0.1,0,,0.57
2020-07-14,Chennai Central,1467,0,0.6,0,,0.77
2021-04-13,Kolkata,1255,10,0.8,0,,0.34
2022-09-11,Pune Junction,1211,15,0.3,0,,0.44
2020-05-15,Pune Junction,528,0,0.6,0,,0.52
2022-11-01,Pune Junction,1304,23,0.8,0,,0.32
2021-11-15,Hyderabad Deccan,718,3,0.3,0,,0.19
2020-04-27,Kolkata,1186,0,0.8,0,,0.55
2023-03-11,Lucknow NR,1399,0,0.1,0,,0.22
2019-06-15,Hyderabad Deccan,562,46,0.1,0,,0.35
2023-10-18,Ahmedabad,1101,36,0.8,0,,0.62
2019-01-31,Kolkata,1417,38,0.9,0,,0.11
2021-08-23,Chennai Central,1224,0,0.3,0,,0.4
2021-02-27,Lucknow NR,695,18,0.3,0,,0.16
2020-07-20,Ahmedabad,712,14,0.3,0,,0.42
2019-02-04,Patna Junction,758,10,0.8,0,,0.32
2021-09-02,Kolkata,1139,46,0.9,0,,0.39
2021-05-20,Hyderabad Deccan,844,0,0.1,0,,0.29
2022-04-10,Pune Junction,1050,23,0.9,0,,0.21
2019-07-04,New Delhi,628,0,0.9,0,,0.16
2020-12-05,New Delhi,1199,26,0.6,0,,0.59
2020-01-21,Patna Junction,1246,0,0.8,0,,0.65
2022-11-28,Chennai Central,1195,14,0.9,0,,0.53
2021-09-11,Mumbai Central,1407,26,0.9,0,,0.31
2021-01-24,Ahmedabad,1310,11,0.6,0,,0.54
2023-04-28,Ahmedabad,993,13,0.6,0,,0.85
2020-03-09,New Delhi,1437,42,0.1,0,,0.22
2020-12-03,Ahmedabad,1397,4,0.6,0,,0.52
2019-12-09,New Delhi,1233,11,0.6,0,,0.6
2021-10-06,Pune Junction,1025,0,0.9,0,,0.55
2019-07-02,Kolkata,507,17,0.1,0,,0.12
2020-06-05,Kolkata,1169,0,0.1,0,,0.28
2019-01-31,Patna Junction,672,8,0.3,0,,0.34
2021-10-14,Hyderabad Deccan,753,7,0.8,0,,0.57
2020-09-17,Patna Junction,706,57,0.3,0,,0.25
2020-06-03,Ahmedabad,939,36,0.6,0,,0.87
2022-02-21,Chennai Central,564,54,0.9,0,,0.16
2020-05-01,Chennai Central,1067,48,0.9,0,,0.18
2019-03-12,Kolkata,774,39,0.8,0,,0.8
2019-06-16,Pune Junction,813,55,0.1,0,,0.59
2023-05-01,Kolkata,1120,32,0.6,0,,0.35
2023-09-10,Pune Junction,1044,60,0.9,0,,0.19
2021-06-27,Mumbai Central,1022,24,0.6,0,,0.53
2019-11-05,Bengaluru City,637,55,0.1,0,,0.33
2023-10-19,New Delhi,1297,18,0.9,0,,0.58
2022-05-10,Ahmedabad,730,0,0.9,0,,0.45
2020-09-14,Bengaluru City,566,23,0.3,0,,0.26
2022-02-27,Mumbai Central,590,26,0.9,0,,0.2
2023-03-24,Patna Junction,594,21,0.3,0,,0.29
2019-03-24,Chennai Central,1362,1,0.1,0,,0.44
2019-12-31,New Delhi,921,34,0.8,0,,0.36
2020-05-25,Bengaluru City,719,13,0.3,0,,0.33
2021-03-10,Pune Junction,1043,39,0.8,0,,0.8
2020-10-15,Ahmedabad,1014,41,0.3,0,,0.59
2022-03-23,Lucknow NR,791,58,0.6,0,,0.47
2022-03-14,Mumbai Central,1209,0,0.6,0,,0.88
2022-12-03,Kolkata,618,30,0.3,0,,0.48
2022-10-24,Lucknow NR,652,18,0.6,1,Diwali,0.46
2021-04-14,Mumbai Central,1044,30,0.1,1,Tamil New Year,0.76
2019-03-30,Pune Junction,593,0,0.9,0,,0.49
2019-07-01,Mumbai Central,1043,32,0.1,0,,0.46
2019-09-22,Kolkata,718,17,0.1,0,,0.35
2021-03-30,Lucknow NR,1250,48,0.1,0,,0.5
2020-04-28,Pune Junction,1410,10,0.9,0,,0.32
2023-11-10,Ahmedabad,879,27,0.6,0,,0.71
2021-06-29,Kolkata,1110,0,0.6,0,,0.34
2023-10-18,Kolkata,833,47,0.8,0,,0.58
2022-08-11,Pune Junction,717,0,0.1,0,,0.5
2020-12-24,Bengaluru City,525,32,0.6,0,,0.35
2020-06-11,Mumbai Central,1153,0,0.6,0,,0.58
2021-12-08,Bengaluru City,818,20,0.8,0,,0.72
2021-03-17,Pune Junction,1284,20,0.9,0,,0.53
2021-02-07,Chennai Central,1102,14,0.8,0,,0.83
2022-08-02,Kolkata,1467,39,0.9,0,,0.54
2021-08-31,Lucknow NR,871,59,0.8,0,,0.54
2022-06-26,Hyderabad Deccan,739,47,0.9,0,,0.17
2019-06-26,Ahmedabad,1120,59,0.1,0,,0.36
2020-05-10,Pune Junction,743,3,0.3,0,,0.12
2022-07-30,Hyderabad Deccan,619,60,0.3,0,,0.55
2019-01-12,Hyderabad Deccan,783,0,0.9,0,,0.27
2023-02-28,Kolkata,709,0,0.3,0,,0.15
2023-08-18,Mumbai Central,1475,19,0.9,0,,0.13
2021-07-04,Pune Junction,1104,49,0.6,0,,0.66
2021-01-30,Hyderabad Deccan,1127,2,0.9,0,,0.37
2021-10-07,Hyderabad Deccan,1250,58,0.8,0,,0.39
2023-11-06,Patna Junction,881,54,0.6,0,,0.46
2021-05-13,Kolkata,771,17,0.9,0,,0.3
2021-07-03,Ahmedabad,1160,17,0.6,0,,0.33
2020-07-14,Patna Junction,1434,0,0.8,0,,0.5
2019-09-25,Ahmedabad,1313,22,0.6,0,,0.6
2021-02-10,Hyderabad Deccan,1435,41,0.9,0,,0.14
2022-02-09,Chennai Central,1057,26,0.1,0,,0.27
2020-10-04,Lucknow NR,914,22,0.1,0,,0.48
2019-05-30,Patna Junction,1157,19,0.1,0,,0.28
2023-07-04,Pune Junction,520,0,0.6,0,,0.59
2022-01-04,Ahmedabad,758,56,0.8,0,,0.38
2019-01-31,Lucknow NR,509,24,0.3,0,,0.2
2020-11-23,Pune Junction,1373,4,0.9,0,,0.34
2023-01-17,New Delhi,1235,33,0.1,0,,0.27
2021-01-26,Lucknow NR,1411,0,0.3,0,,0.58
2021-01-31,Kolkata,917,0,0.1,0,,0.48
2020-10-18,Patna Junction,859,26,0.9,0,,0.52
2022-02-14,Kolkata,557,19,0.6,0,,0.44
2019-08-06,Chennai Central,647,33,0.9,0,,0.2
2023-09-21,Kolkata,822,0,0.9,0,,0.13
2020-04-28,Lucknow NR,1462,9,0.3,0,,0.17
2020-03-08,New Delhi,1479,0,0.8,1,Holi,0.64
2020-03-31,Ahmedabad,524,40,0.6,0,,0.62
2022-10-21,Lucknow NR,916,0,0.9,0,,0.59
2022-05-27,Kolkata,1348,17,0.6,0,,0.7
2020-08-27,New Delhi,1043,48,0.3,0,,0.45
2022-04-21,Pune Junction,954,15,0.1,0,,0.56
2022-12-24,New Delhi,1488,0,0.6,0,,0.88
2022-11-29,Chennai Central,1033,16,0.8,0,,0.79
2021-03-21,Bengaluru City,1183,9,0.1,0,,0.14
2019-10-09,Kolkata,1127,32,0.9,0,,0.33
2019-01-23,Chennai Central,924,6,0.1,0,,0.33
2022-11-03,New Delhi,513,57,0.6,0,,0.37
2020-07-19,Kolkata,890,23,0.9,0,,0.12
2019-11-14,Patna Junction,769,5,0.8,0,,0.89
2022-02-09,Mumbai Central,753,0,0.8,0,,0.51
2023-07-29,Bengaluru City,564,4,0.3,0,,0.28
2022-09-09,Chennai Central,977,8,0.6,0,,0.52
2023-12-12,Hyderabad Deccan,1493,46,0.8,0,,0.53
2022-08-21,New Delhi,1203,21,0.1,0,,0.19
2023-07-23,Patna Junction,1037,1,0.8,0,,0.61
2023-04-24,Lucknow NR,866,59,0.1,0,,0.26
2020-12-02,Pune Junction,1102,58,0.1,0,,0.2
2019-02-24,Kolkata,1286,0,0.8,0,,0.64
2020-10-31,Chennai Central,1161,58,0.8,0,,0.31
2020-03-19,Kolkata,608,12,0.8,0,,0.49
2021-12-16,Mumbai Central,1194,0,0.8,0,,0.69
2023-10-13,Kolkata,534,0,0.8,0,,0.33
2021-04-10,Mumbai Central,1234,0,0.8,0,,0.66
2023-12-31,Bengaluru City,1297,35,0.8,0,,0.51
2021-09-23,Kolkata,1075,52,0.8,0,,0.67
2022-05-11,Bengaluru City,1055,28,0.3,0,,0.22
2023-10-03,Hyderabad Deccan,735,57,0.6,0,,0.42
2022-02-26,Kolkata,1431,6,0.1,0,,0.45
2023-07-08,Lucknow NR,734,11,0.9,0,,0.58
2019-10-12,Bengaluru City,641,31,0.1,0,,0.56
2022-08-06,New Delhi,1474,36,0.9,0,,0.37
2022-11-24,Pune Junction,665,6,0.8,0,,0.49
2022-04-24,Chennai Central,657,0,0.9,0,,0.22
2019-02-14,Mumbai Central,559,48,0.6,0,,0.36
2021-01-02,Mumbai Central,1475,22,0.9,0,,0.42
2023-07-14,Kolkata,757,0,0.1,0,,0.55
2023-08-02,Hyderabad Deccan,1166,37,0.9,0,,0.46
2023-10-26,Hyderabad Deccan,680,0,0.8,0,,0.89
2021-05-22,Chennai Central,1050,10,0.1,0,,0.48
2022-11-27,Lucknow NR,1272,45,0.8,0,,0.77
2023-12-28,Pune Junction,913,33,0.6,0,,0.52
2022-10-22,Ahmedabad,1251,53,0.8,0,,0.45
2019-06-12,Kolkata,1419,0,0.6,0,,0.72
2023-12-10,Kolkata,1138,42,0.6,0,,0.88
2020-09-22,Lucknow NR,1294,0,0.8,0,,0.39
2021-01-25,Kolkata,849,0,0.3,0,,0.56
2021-03-29,Hyderabad Deccan,848,57,0.9,0,,0.33
2023-05-21,Kolkata,1000,15,0.9,0,,0.19
2020-05-24,Ahmedabad,1234,42,0.6,0,,0.82
2021-09-10,Hyderabad Deccan,582,15,0.8,0,,0.7
2019-06-27,Ahmedabad,1057,0,0.3,0,,0.29
2021-10-19,New Delhi,1429,15,0.6,0,,0.45
2022-03-03,Patna Junction,576,0,0.9,0,,0.25
2023-01-04,Bengaluru City,538,0,0.3,0,,0.46
2023-09-22,Patna Junction,1217,58,0.9,0,,0.5
2021-02-09,Kolkata,679,47,0.6,0,,0.53
2020-06-30,Ahmedabad,901,1,0.3,0,,0.51
2019-05-04,Bengaluru City,657,43,0.9,0,,0.45
2022-12-14,Kolkata,1106,53,0.3,0,,0.24
2019-09-23,Bengaluru City,908,55,0.8,0,,0.68
2021-02-23,Patna Junction,608,0,0.8,0,,0.83
2023-09-17,Mumbai Central,1195,60,0.1,0,,0.24
2019-01-15,Hyderabad Deccan,1159,0,0.3,0,,0.21
2022-01-16,Lucknow NR,523,49,0.1,0,,0.57
2023-11-19,Ahmedabad,1328,7,0.9,0,,0.56
2021-05-30,Ahmedabad,697,0,0.3,0,,0.46
2021-07-30,Mumbai Central,715,6,0.3,0,,0.46
2022-05-05,Pune Junction,610,26,0.8,0,,0.66
2022-07-24,Chennai Central,1178,47,0.9,0,,0.47
2020-06-16,Kolkata,1111,33,0.3,0,,0.52
2021-05-15,Hyderabad Deccan,1064,6,0.6,0,,0.32
2022-07-30,Hyderabad Deccan,870,0,0.1,0,,0.11
2023-07-04,Bengaluru City,1432,60,0.8,0,,0.61
2019-05-08,Ahmedabad,1166,0,0.6,0,,0.45
2023-11-04,Mumbai Central,849,31,0.6,0,,0.64
2019-05-30,Ahmedabad,1184,46,0.8,0,,0.74
2022-06-13,Chennai Central,1267,2,0.9,0,,0.53
2019-11-04,Hyderabad Deccan,684,6,0.1,0,,0.47
2019-06-11,Hyderabad Deccan,651,12,0.9,0,,0.49
2022-05-30,Kolkata,1434,0,0.9,0,,0.32
2019-06-21,Kolkata,568,40,0.3,0,,0.12
2023-11-10,Bengaluru City,1445,0,0.6,0,,0.42
2019-05-01,Mumbai Central,932,0,0.3,0,,0.57
2020-07-16,Bengaluru City,1070,0,0.3,0,,0.46
2019-10-30,New Delhi,1291,8,0.6,0,,0.76
2020-05-13,Patna Junction,625,45,0.6,0,,0.76
2021-12-06,Ahmedabad,718,8,0.1,0,,0.55
2022-07-07,Kolkata,963,0,0.9,0,,0.23
2019-01-27,Kolkata,1049,35,0.3,0,,0.5
2019-01-12,Ahmedabad,506,0,0.6,0,,0.56
2023-10-10,Kolkata,1011,0,0.3,0,,0.54
2020-04-12,Kolkata,1025,59,0.3,0,,0.28
2019-06-15,Mumbai Central,883,21,0.3,0,,0.15
2019-03-19,Lucknow NR,868,38,0.8,0,,0.87
2022-09-06,Pune Junction,1499,50,0.9,0,,0.23
2019-08-08,Mumbai Central,508,15,0.1,0,,0.41
2020-11-13,New Delhi,1247,44,0.8,0,,0.8
2020-10-24,Patna Junction,755,0,0.8,1,Diwali,0.69
2023-01-03,Bengaluru City,846,60,0.1,0,,0.45
2022-12-30,New Delhi,1463,3,0.3,0,,0.37
2021-10-09,Patna Junction,1359,38,0.3,0,,0.26
2021-12-20,Ahmedabad,1472,43,0.9,0,,0.13
2019-06-22,Chennai Central,1263,34,0.9,0,,0.53
2022-06-27,Bengaluru City,568,5,0.3,0,,0.35
2021-10-24,Hyderabad Deccan,1275,45,0.3,1,Diwali,0.61
2023-04-10,Bengaluru City,629,51,0.9,0,,0.17
2019-05-12,Bengaluru City,731,32,0.6,0,,0.6
2020-08-24,Kolkata,546,2,0.8,0,,0.88
2019-08-31,New Delhi,1242,0,0.1,0,,0.17
2023-04-08,New Delhi,888,0,0.3,0,,0.26
2022-05-06,Chennai Central,767,54,0.8,0,,0.71
2020-06-21,Hyderabad Deccan,802,0,0.9,0,,0.24
2022-11-04,Pune Junction,954,0,0.6,0,,0.86
2020-06-02,Lucknow NR,1395,15,0.1,0,,0.59
2021-12-12,Kolkata,1432,0,0.8,0,,0.57
2019-10-15,Kolkata,1201,40,0.3,0,,0.49
2022-06-13,Ahmedabad,952,45,0.9,0,,0.55
2023-06-24,Pune Junction,786,0,0.1,0,,0.18
2022-01-05,Pune Junction,659,0,0.8,0,,0.38
2020-02-28,Pune Junction,1268,0,0.8,0,,0.65
2019-12-09,Lucknow NR,1440,52,0.3,0,,0.27
2023-06-10,Mumbai Central,618,12,0.8,0,,0.47
2022-01-22,New Delhi,749,0,0.8,0,,0.36
2021-12-16,Pune Junction,517,14,0.1,0,,0.53
2019-08-23,Pune Junction,795,0,0.8,0,,0.48
2019-08-25,Pune Junction,667,37,0.3,0,,0.3
2020-02-20,Kolkata,1102,0,0.3,0,,0.45
2020-12-11,Ahmedabad,1252,51,0.1,0,,0.3
2021-11-17,Kolkata,949,0,0.6,0,,0.56
2023-05-20,Hyderabad Deccan,1349,48,0.6,0,,0.78
2023-03-31,Bengaluru City,677,57,0.6,0,,0.33
2021-11-01,Hyderabad Deccan,1443,50,0.6,0,,0.6
2019-11-12,Kolkata,1395,30,0.6,0,,0.46
2021-08-09,Patna Junction,973,17,0.9,0,,0.5
2022-03-02,Lucknow NR,1435,6,0.1,0,,0.27
2023-09-06,Mumbai Central,1147,0,0.6,0,,0.82
2022-12-27,Ahmedabad,720,0,0.3,0,,0.29
2023-08-20,New Delhi,550,0,0.1,0,,0.22
2023-05-28,Bengaluru City,1146,0,0.9,0,,0.45
2021-01-28,Mumbai Central,798,30,0.1,0,,0.34
2022-02-24,New Delhi,1010,10,0.9,0,,0.43
2023-02-06,Bengaluru City,747,31,0.1,0,,0.42
2022-08-15,Lucknow NR,876,0,0.8,1,Independence Day,0.45
2022-10-20,Bengaluru City,951,0,0.9,0,,0.16
2022-05-14,New Delhi,967,60,0.8,0,,0.52
2021-05-17,Hyderabad Deccan,689,3,0.9,0,,0.59
2019-07-28,Pune Junction,1402,35,0.6,0,,0.31
2023-11-14,Hyderabad Deccan,554,0,0.9,0,,0.46
2019-10-16,Ahmedabad,1452,27,0.6,0,,0.42
2023-02-07,Lucknow NR,1175,0,0.9,0,,0.49
2019-06-03,Chennai Central,865,54,0.9,0,,0.22
2020-04-29,Pune Junction,1057,23,0.6,0,,0.73
2019-02-24,Lucknow NR,934,0,0.8,0,,0.72
2023-10-21,Lucknow NR,1340,29,0.1,0,,0.44
2020-12-17,Lucknow NR,1273,25,0.8,0,,0.71
2019-09-18,Hyderabad Deccan,785,17,0.3,0,,0.24
2021-05-17,Kolkata,1302,0,0.1,0,,0.35
2022-06-06,Kolkata,1397,36,0.6,0,,0.74
2023-12-19,Hyderabad Deccan,1475,29,0.6,0,,0.34
2021-09-06,Lucknow NR,694,16,0.3,0,,0.33
2022-06-26,Pune Junction,536,51,0.9,0,,0.49
2022-04-16,Bengaluru City,1011,55,0.3,0,,0.24
2021-03-20,Mumbai Central,784,0,0.6,0,,0.89
2023-05-19,Ahmedabad,1261,21,0.6,0,,0.3
2022-11-22,Ahmedabad,726,17,0.9,0,,0.42
2021-08-23,Kolkata,657,48,0.9,0,,0.48
2021-08-02,Hyderabad Deccan,1200,49,0.9,0,,0.49
2020-03-19,Hyderabad Deccan,1476,24,0.6,0,,0.62
2022-04-08,Lucknow NR,1452,0,0.9,0,,0.28
2020-10-29,Hyderabad Deccan,955,0,0.8,0,,0.87
2021-08-20,Mumbai Central,685,46,0.1,0,,0.55
2020-04-16,Hyderabad Deccan,1206,0,0.6,0,,0.41
2020-09-03,Chennai Central,1037,5,0.9,0,,0.5
